dataset,score_bin,mean_delta,ci_low,ci_high,seed_count,node_episode_count
industry,Q1,-0.008238019253512564,-0.008777076688780307,-0.007698961818244822,10,22344
industry,Q2,-0.012784088382808992,-0.013748375326974222,-0.011819801438643762,10,22344
industry,Q3,-0.015088898151853231,-0.01618208689222834,-0.013995709411478121,10,22344
industry,Q4,-0.01762034059339876,-0.01885848753143291,-0.016382193655364606,10,22344
industry,Q5,-0.020098947573599923,-0.02141856121566342,-0.018779333931536427,10,22344
etf,Q1,-0.007420564299792006,-0.008048942530393345,-0.006792186069190665,10,3080
etf,Q2,-0.02063224687230003,-0.02211257516463694,-0.019151918579963123,10,3080
etf,Q3,-0.030412753922884207,-0.03312929210697522,-0.027696215738793196,10,3080
etf,Q4,-0.04033465158387966,-0.043669267339200804,-0.037000035828558514,10,3080
etf,Q5,-0.050491037066748755,-0.054654173283555346,-0.046327900849942164,10,3080
