dataset,metric,placement_delta,placement_ci_low,placement_ci_high,placement_supported,learned_signal_delta,learned_signal_ci_low,learned_signal_ci_high,learned_signal_supported,random_control,interpretation
industry,CVaR95_loss,-0.009597688422729168,-0.01151396476658757,-0.0076525223714458395,True,0.002414132563328719,0.0007009787364306008,0.004527571628264861,False,RandomSignal-ICL,placement_supported_random_signal_boundary
industry,CVaR99_loss,-0.020225828626881447,-0.024011935539867472,-0.015789443959360668,True,0.0014149572538292078,-0.001438338378201562,0.005049893519152924,False,RandomSignal-ICL,placement_supported_random_signal_boundary
industry,crowding,-0.04652967453002912,-0.05111003935337053,-0.042299935221671796,True,-0.01900169849395734,-0.02229867100715633,-0.01585487902164437,True,RandomSignal-ICL,placement_and_learned_signal_supported
industry,co_crash_freq,-0.002298246324062349,-0.002570175379514682,-0.0020614065229892986,True,-0.0006403520703315901,-0.0009385988302529131,-0.0003508806042373458,True,RandomSignal-ICL,placement_and_learned_signal_supported
industry,policy_objective,0.003949697220309867,0.002788146894738422,0.005116266316425834,True,-0.0037887758167946426,-0.005151809558308204,-0.0026490840009086164,False,RandomSignal-ICL,placement_supported_random_signal_boundary
industry,principal_CE,-0.0007032702326931206,-0.0021432359981596056,0.0006880191265458702,False,-0.0056889456661903814,-0.007197853082957293,-0.0044527894168564135,False,RandomSignal-ICL,not_supported_or_mixed
etf,CVaR95_loss,-0.009160777015389577,-0.010542336476127144,-0.007630815845697064,True,0.008497327396289011,0.006828470390695349,0.010153827499694689,False,RandomSignal-ICL,placement_supported_random_signal_boundary
etf,CVaR99_loss,-0.012146524588266972,-0.014895294041205702,-0.009777290408427935,True,0.012547350541139224,0.009895776632504509,0.015106338797471416,False,RandomSignal-ICL,placement_supported_random_signal_boundary
etf,crowding,-0.012026000022888205,-0.015206227153539713,-0.009061195552349091,True,-0.002118140459060647,-0.0049513562023639456,8.65767896175695e-05,False,RandomSignal-ICL,placement_supported_random_signal_boundary
etf,co_crash_freq,-0.0011168837547302108,-0.0020000010728835785,-0.0005194813013076616,True,0.00041558593511581974,-0.0001818194985389765,0.0009090945124626299,False,RandomSignal-ICL,placement_supported_random_signal_boundary
etf,policy_objective,0.0057654414131726225,0.004597011165724217,0.0067728066454772065,True,-0.015419904800551687,-0.017372567194860744,-0.013301005846430463,False,RandomSignal-ICL,placement_supported_random_signal_boundary
etf,principal_CE,0.004562841410883789,0.003096602730456081,0.005837276869110859,True,-0.01563171884645777,-0.01781751325964217,-0.013375748470167443,False,RandomSignal-ICL,placement_supported_random_signal_boundary
